"","control_mean","starvation_mean","M","D","prob","ranking"
"FBgn0000008",363.675658647603,255.408400113149,0.509846392760793,108.267258534454,0.667978146271559,108.268458998503
"FBgn0000014",NA,NA,NA,NA,NA,0
"FBgn0000015",0.504329183309821,0.624280084307223,-0.307827731758311,0.119950900997401,0.10805312452019,-0.330372715413296
"FBgn0000017",2630.34768074906,2757.03295053829,-0.0678630014309524,126.685269789235,0.256314294487947,-126.685287965724
"FBgn0000018",78.1750458173414,81.9304089341474,-0.0676908559815369,3.75536311680605,0.111923588719996,-3.75597313502783
"FBgn0000022",NA,NA,NA,NA,NA,0
"FBgn0000024",7407.79530199894,8483.46582695001,-0.195609548988516,1075.67052495108,0.563021393111213,-1075.67054273677
"FBgn0000028",464.534434724636,474.119871311717,-0.0294663167770302,9.58543658708101,0.0913301601924356,-9.58548187775532
"FBgn0000032",152.002024587614,190.33548984461,-0.324454051029904,38.3334652569964,0.489680894621014,-38.3348383202614
"FBgn0000036",2456.85261939761,2537.97425269875,-0.0468661168310275,81.1216333011448,0.192960233379395,-81.1216468390424
"FBgn0000037",3019.34102745054,3219.41281386084,-0.0925638652755548,200.071786410299,0.315938635549414,-200.071807822785
"FBgn0000038",17248.1141210858,16956.1032858503,0.0246339692200336,292.010835235506,0.087594042683863,292.010836274564
"FBgn0000039",1380.81999462487,1345.7723648709,0.0370908592240689,35.0476297539642,0.156673831823532,35.0476493805618
"FBgn0000042",9929.17643349281,6301.46193914791,0.655987486999403,3627.7144943449,0.793592302574339,3627.71455365491
"FBgn0000043",378.032372010595,322.286154413046,0.230167571133217,55.7462175975487,0.466784379958033,55.7466927588
"FBgn0000044",437.706600443266,517.14749699593,-0.24061167465779,79.4408965526635,0.507753723322586,-79.4412609357943
"FBgn0000045",462.608862129251,168.252807136947,1.45916232871198,294.356054992304,0.890744152720201,294.359671601485
"FBgn0000046",53.0906700351074,79.6261141492944,-0.584783304848001,26.535444114187,0.49331465274579,-26.5418870062166
"FBgn0000047",3.63892299311687,2.62352930543409,0.472002615881503,1.01539368768278,0.150346742412611,1.11973693802831
"FBgn0000052",199.792074676084,454.213790786604,-1.18487215400841,254.421716110519,0.867617329443677,-254.424475140744
"FBgn0000053",416.722641534207,797.033000400609,-0.935551971651971,380.310358866403,0.826033829776345,-380.311509579428
"FBgn0000055",23799.5226329915,17671.5708656756,0.429502346481174,6127.95176731598,0.741177900609038,6127.95178236768
"FBgn0000056",607.428248282241,349.834377537231,0.796041935164166,257.59387074501,0.776319156558678,257.595100745646
"FBgn0000057",226.062592488055,243.21633198435,-0.105517825926676,17.1537394962955,0.236526946107784,-17.1540640292135
"FBgn0000061",1.38817291176697,0.627619663911866,1.14522482307618,0.760553247855107,0.196849889963662,1.37476584850397
"FBgn0000063",53.9934801830152,98.4457393018109,-0.866543558544732,44.4522591187958,0.627718921132095,-44.4607044310301
"FBgn0000064",8548.2616464194,6309.40164930445,0.438127872857293,2238.85999711494,0.74289242028763,2238.86003998409
"FBgn0000071",5.06923661117516,84.7571315751076,-4.06349435389092,79.6878949639324,0.866632120374635,-79.7914318091036
"FBgn0000075",24.8824930458483,33.0988157830638,-0.411648560565988,8.21632273721551,0.29038717436921,-8.22662834091225
"FBgn0000077",143.006135628695,144.112989408802,-0.0111233298710855,1.106853780107,0.0161983724857976,-1.10690967066178
"FBgn0000078",288.411291439561,96.3494597694242,1.58177916540521,192.061831670137,0.875748502994012,192.068345153011
"FBgn0000079",319.081412346345,109.303526827404,1.54558461654334,209.777885518941,0.879894058037771,209.783579158629
"FBgn0000083",1162.03644329497,916.139488704283,0.343016133979917,245.896954590683,0.665137673371206,245.897193837263
"FBgn0000084",1585.62749697336,1236.10512544699,0.359252442686447,349.522371526373,0.687452019038845,349.522556153015
"FBgn0000092",8.27025790767173,9.0643432444866,-0.132270173034998,0.794085336814874,0.0970558882235529,-0.805026037354755
"FBgn0000094",2.70783555730155,8.77491692522868,-1.69624533813809,6.06708136792714,0.394992067147756,-6.29974004004957
"FBgn0000097",496.609656893893,468.941001491033,0.0827058904294269,27.6686554028593,0.229816009007626,27.6687790129324
"FBgn0000100",6445.04409417131,5801.98423126092,0.151643854350615,643.05986291039,0.476508521418701,643.059880790419
"FBgn0000108",14245.5666430358,15377.5123041446,-0.110309121705061,1131.94566110882,0.379427043349199,-1131.94566648368
"FBgn0000109",58.6901388500729,59.0228626027719,-0.00815577175765047,0.332723752698939,0.0068708736373407,-0.332823695404981
"FBgn0000114",648.118319831584,658.208688140272,-0.022287855576519,10.0903683086882,0.0676083729975945,-10.090392923642
"FBgn0000115",176.311160918477,155.996279354042,0.176612183622457,20.3148815644356,0.326942269307539,20.3156492596336
"FBgn0000116",15402.5629946235,10071.5171215604,0.612889416234995,5331.0458730631,0.784770203183377,5331.04590829384
"FBgn0000117",4932.94681502051,4985.96748746117,-0.0154237424433327,53.0206724406644,0.084868724090281,-53.0206746840519
"FBgn0000119",527.194706078386,483.20612570816,0.125697139199037,43.988580370226,0.337363734070321,43.9887599593196
"FBgn0000120",880.065807760292,726.176349860483,0.277291461526221,153.889457899809,0.584759967244997,153.889707723589
"FBgn0000121",1647.05418689789,1825.59323207003,-0.148477328844344,178.539045172145,0.453106607298224,-178.539106910778
