"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0000008",307.500632571084,-0.497537498394443,0.106661281046595,-4.66464956648227,3.09143411802094e-06,2.91323542944993e-05
"FBgn0000014",0,NA,NA,NA,NA,NA
"FBgn0000015",0.122899077083599,0.727783859195047,3.5338115409304,0.205948690462263,0.836830991110054,NA
"FBgn0000017",2678.18038390413,0.0806339972601846,0.0769035093856569,1.04850868190969,0.294404304395668,0.470109791103958
"FBgn0000018",79.6439182666534,0.0812776857060714,0.184098408846725,0.441490430119583,0.658857988124635,0.788349427156263
"FBgn0000022",0,NA,NA,NA,NA,NA
"FBgn0000024",7902.77303805716,0.208449641642566,0.0634191493047059,3.2868564767566,0.0010131245467151,0.00528456504132638
"FBgn0000028",466.779933606367,0.0417946568769275,0.101298457806278,0.412589271169905,0.679907563139893,0.803577087559033
"FBgn0000032",170.285478612255,0.338426006148852,0.122233799754382,2.76867778657695,0.00562842680534156,0.0224566549418579
"FBgn0000036",2483.50779521508,0.0596177291218052,0.072574653886652,0.821467632693321,0.411379953354137,0.586931889394429
"FBgn0000037",3102.23349800066,0.105032582473751,0.057292426552699,1.83327166946122,0.0667621803158541,0.162871073504756
"FBgn0000038",17003.5662300726,-0.0121941021366463,0.0667912467241606,-0.18257036265555,0.855135140622053,0.917150810011118
"FBgn0000039",1355.48546913401,-0.0244360207717278,0.0569195282025929,-0.429308210088338,0.667698942804488,0.794261188314843
"FBgn0000042",8061.17915999804,-0.64400706385263,0.0554703915878182,-11.6099245997401,3.66939027168603e-31,5.2156305611715e-29
"FBgn0000043",347.987005937107,-0.219114487065444,0.0965387770724247,-2.26970439972594,0.0232255242891991,0.0719400773534091
"FBgn0000044",474.947346189076,0.249681869315855,0.312800728961105,0.798213834555679,0.424746410432869,0.599748632598416
"FBgn0000045",313.085056308106,-1.44885691603143,0.140140082892386,-10.3386332170505,4.7120996588736e-25,4.42418604668921e-23
"FBgn0000046",66.013012678016,0.592711970042606,0.293315100458625,2.02073459264745,0.043307246843628,0.117748768384083
"FBgn0000047",3.04106164440647,-0.544903947381107,0.928285342563736,-0.587000486161069,0.557203380204559,0.712891535568628
"FBgn0000052",325.612431722592,1.19889985295505,0.121267056048843,9.8864431282324,4.7666359528428e-23,3.6678009279243e-21
"FBgn0000053",604.156974522439,0.946520252549855,0.144704170308349,6.54107100391733,6.10798217327028e-11,1.2427254385934e-09
"FBgn0000055",20603.8307684654,-0.417727896526905,0.0664092446190308,-6.29020701746089,3.17042884666716e-10,5.82516495813136e-09
"FBgn0000056",475.339188398616,-0.784349103578054,0.0893322648811186,-8.78013229175201,1.63282487577569e-18,8.19133812680802e-17
"FBgn0000057",233.307259403676,0.116972203091004,0.115828870577678,1.00987087681701,0.312557157276895,0.48977338042746
"FBgn0000061",0.744651481564159,-2.02892370665036,1.89460713928071,-1.07089415245244,0.284217025450891,NA
"FBgn0000063",75.8680176602221,0.880238784593622,0.19404899194042,4.53616777800055,5.72856138014816e-06,5.05833452669855e-05
"FBgn0000064",7382.1421328552,-0.426189901405845,0.054635207733921,-7.80064575724565,6.15911821289655e-15,2.06663658330437e-13
"FBgn0000071",44.8504100963704,4.09211018526912,0.37993144478505,10.7706541309953,4.73624144784032e-27,5.15645691246786e-25
"FBgn0000075",28.8139720235196,0.413697549749291,0.301946918070784,1.37010025600695,0.170655607939056,0.323641129753871
"FBgn0000077",142.766345978245,0.0240772769443397,0.128100257488451,0.187956507007883,0.850910745832986,0.914286438934437
"FBgn0000078",191.090919694887,-1.5688915584419,0.318598430479311,-4.92435432303169,8.46393540969861e-07,8.94833832467516e-06
"FBgn0000079",212.961486078452,-1.53285639701497,0.443828349935773,-3.45371447596079,0.000552922441944686,0.00315418521229761
"FBgn0000083",1032.70567880303,-0.330593304320126,0.0577794353329211,-5.72164304506041,1.05498779403125e-08,1.52066832170646e-07
"FBgn0000084",1402.12989217462,-0.347681185657188,0.0652470877160036,-5.32868512339608,9.89263314336764e-08,1.23164486118278e-06
"FBgn0000092",8.62465049720798,0.156632268636757,0.545897116649657,0.286926352712868,0.774168711936106,0.867496178468642
"FBgn0000094",5.74517512244011,1.71407141416867,0.968760463263888,1.76934493011175,0.0768363297227513,0.180934882278563
"FBgn0000097",479.99901145575,-0.070271579563876,0.0757185452364877,-0.928062990967411,0.35337489564833,0.53159469088123
"FBgn0000100",6087.56231523252,-0.139447813127577,0.0471768375151551,-2.95585334821947,0.00311805309590516,0.0136998218114987
"FBgn0000108",14728.8066197169,0.123620817692831,0.0748682780363668,1.65117752050853,0.0987023318426957,0.217792079361394
"FBgn0000109",58.5210145368633,0.0195436590297005,0.194153215784597,0.10066101120562,0.919819562664089,0.954330266399191
"FBgn0000114",649.343090568725,0.0339378208859446,0.084451131818635,0.401863422728645,0.687784543050975,0.808127096852316
"FBgn0000115",165.199857016384,-0.163718325629095,0.130695092939142,-1.25267385291451,0.210324425408658,0.374731923682487
"FBgn0000116",12652.7113438958,-0.600635392036662,0.0576917491679295,-10.4111142528948,2.20624048136401e-25,2.13006274398861e-23
"FBgn0000117",4931.3545781986,0.0274967433258088,0.0428614480509776,0.641526233390559,0.521180842455605,0.683290384536339
"FBgn0000119",502.257674217027,-0.113553702141912,0.080330534408891,-1.41358081304317,0.15748501811489,0.305825744855367
"FBgn0000120",798.626340900156,-0.266386176619308,0.127933881460866,-2.08221757659087,0.0373226005166021,0.104905106752789
"FBgn0000121",1727.59426278086,0.159862932168757,0.10432832385728,1.53230614907077,0.125446904427248,0.258939818456728
"FBgn0000137",0.367031267217633,2.00899129824074,2.86901524475185,0.700237233634671,0.48377916247726,NA
"FBgn0000139",240.99430572888,0.495871530848384,0.102633191409251,4.83149285372106,1.35513083584215e-06,1.38105754793109e-05
"FBgn0000140",6.28035932226764,1.43101601783192,0.662310156350329,2.16064332414522,0.0307229020469823,0.0896033569532107
"FBgn0000146",18.8415309192902,-0.0884863053116131,0.359836702374745,-0.245906836983685,0.805754351169519,0.886867071399102
"FBgn0000147",55.4256065965479,1.58032666485134,0.226653628100548,6.97243047947275,3.11511610807209e-12,7.71915211864643e-11
"FBgn0000150",1355.12660707272,-0.227318981167909,0.0725873105574052,-3.1316628129945,0.00173819378942582,0.00835413240873874
"FBgn0000152",224.333312983441,0.492887799617627,0.110008710624611,4.48044338324747,7.44881375467189e-06,6.46574724048449e-05
"FBgn0000153",700.201610138335,-0.1983474606556,0.26147261380038,-0.758578337412527,0.448104835273879,0.620639448395301
"FBgn0000157",308.503519091206,-0.0797926156288722,0.0967743147359794,-0.824522662305211,0.409642644464259,0.585522427466076
"FBgn0000158",0.371250992418397,0.731259297022074,2.58861479350029,0.282490581008105,0.777567367878402,NA
"FBgn0000163",85.8385179304444,-0.426018986530045,0.19669275095781,-2.16591096751413,0.0303179910591213,0.0887004918522148
"FBgn0000166",0.38499019095515,-0.744394767736089,2.56061426393541,-0.290709451329865,0.77127354253527,NA
"FBgn0000173",851.183891409388,-0.195240921534179,0.0759277377029895,-2.57140443585865,0.0101286965098234,0.0362564113611516
