"","name","X","NDE","DE","rowMeans.txi.length..na.rm...TRUE."
"1","FBgn0000008",1,-4.07954573386539,-0.0170598430145432,4515.15938067741
"2","FBgn0000014",2,-5.01830133003978e-10,-21.4127589629126,4370.31275
"3","FBgn0000015",3,-6.27935392571999e-09,-18.8859986799326,3521.874
"4","FBgn0000017",4,-1.05752885559696e-05,-11.4569958342335,10438.7224221136
"5","FBgn0000018",5,-0.023981033509429,-3.7424585862906,1609.06275
"6","FBgn0000022",6,-5.01830133003978e-10,-21.4127589629126,732.102875
"7","FBgn0000024",7,-0.000378489779478741,-7.87951072707271,7267.17874392294
"8","FBgn0000028",8,-0.0933072131957005,-2.41814873534465,4019.07499597082
"9","FBgn0000032",9,-4.26547671823758,-0.0141447367353322,1756.48150659133
"10","FBgn0000036",10,-1.00211467000122e-05,-11.5108180379835,10842.06275
"11","FBgn0000037",11,-0.00533760568158925,-5.23564571655056,5211.97963853441
"12","FBgn0000038",12,0,-292.407853073682,2052.46933903094
"13","FBgn0000039",13,-0.00424262849183066,-5.46469283874539,2182.06593597887
"14","FBgn0000042",14,-1.12619602532504e-09,-20.6044247310985,2084.09213851039
"15","FBgn0000043",15,-0.0233592200259807,-3.76842038544634,1441.06275
"16","FBgn0000044",16,-0.00472501330681041,-5.35724647819828,1539.06275
"17","FBgn0000045",17,-10.0126856039827,-4.48286466081527e-05,1368.16378171264
"18","FBgn0000046",18,-0.11666773934234,-2.20619201277452,1384.51361552247
"19","FBgn0000047",19,-6.3966071373045e-06,-11.9597460411508,1411.29836710544
"20","FBgn0000052",20,-13.2487383168443,-1.76257026396343e-06,4094.70437264555
"21","FBgn0000053",21,-6.76763298639327,-0.00115107671209813,4052.11208128401
"22","FBgn0000055",22,0,-363.934541383221,874.082741507209
"23","FBgn0000056",23,-9.11618118023559,-0.000109879500676868,1895.06275
"24","FBgn0000057",24,-0.342921350843547,-1.23681983014672,2056.06275
"25","FBgn0000061",25,-7.58558975810786e-06,-11.7892639876923,1620.13200870005
"26","FBgn0000063",26,-8.39379862218521,-0.000226291746280083,1929.54313542533
"27","FBgn0000064",27,-1.73598760966343e-06,-13.2639349496511,2324.06984771342
"28","FBgn0000071",28,-11.3906965105863,-1.13001917796396e-05,1348.44759084167
"29","FBgn0000075",29,-0.113496537081069,-2.23219455130545,1568.95456902839
"30","FBgn0000077",30,-0.0375622135401628,-3.30047901206711,1037.25900808881
"31","FBgn0000078",31,-0.576818346437769,-0.824811987445827,1421.06275
"32","FBgn0000079",32,-0.00283329434201818,-5.86773147857807,1418.7602399585
"33","FBgn0000083",33,-2.93052341007741,-0.0548460156350217,1108.00689507971
"34","FBgn0000084",34,-2.80430620453178,-0.0624593668106215,1060.91257596112
"35","FBgn0000092",35,-0.0024575173583905,-6.00983214957082,828.06275
"36","FBgn0000094",36,-1.11383354450822e-06,-13.7077034060273,126.259542751284
"37","FBgn0000097",37,-0.00116472592367955,-6.75585178472572,4478.69723397634
"38","FBgn0000100",38,-0.0337400435047073,-3.40589250171818,1026.60607721837
"39","FBgn0000108",39,0,-206.124274638492,5969.30663635061
"40","FBgn0000109",40,-0.00924995412757568,-4.68775809864855,627.916889187398
"41","FBgn0000114",41,-0.0518560029971837,-2.98510053525041,3109.8948135636
"42","FBgn0000115",42,-0.0147974034241969,-4.22069313617943,678.169
"43","FBgn0000116",43,0,-133.202065035142,1397.85350217903
"44","FBgn0000117",44,-0.00237852390273474,-6.04246421887117,2937.78127912343
"45","FBgn0000119",45,-0.0205667879242313,-3.89434351025222,5839.06275
